word,count
the,38895
and,23919
of,21199
to,20526
a,14464
i,13973
in,12777
that,9623
it,9099
was,8920
her,7923
my,7385
his,6642
with,6575
he,6444
as,6439
you,6295
had,5718
she,5617
for,5425
but,5191
not,4834
is,4715
at,4684
me,4678
be,4308
on,4159
all,3967
have,3802
this,3768
so,3603
by,3511
which,3343
from,3107
him,3069
we,2760
were,2543
one,2262
when,2230
or,2229
said,2095
they,2093
would,2057
an,2038
there,2012
your,1985
no,1967
could,1914
then,1889
very,1856
been,1840
up,1833
what,1827
are,1769
if,1762
more,1756
into,1716
now,1693
will,1689
their,1679
out,1605
them,1592
upon,1553
some,1533
do,1518
our,1383
who,1382
such,1351
time,1313
any,1285
before,1275
other,1250
down,1245
must,1241
whale,1235
than,1214
little,1208
man,1193
only,1193
mr,1175
did,1173
most,1160
should,1110
after,1102
much,1100
see,1049
its,1033
again,1033
like,1033
first,1030
over,1017
us,1009
how,1003
has,997
two,974
may,962
about,956
can,948
well,936
am,875
never,859
know,847
dear,843
way,841
every,839
long,838
these,836
made,824
own,801
might,801
great,797
shall,776
yet,759
last,754
too,751
while,741
being,739
still,725
good,704
hand,700
ever,693
day,692
away,685
here,684
elizabeth,683
think,683
off,681
old,681
without,680
head,674
though,672
miss,668
prick,661
soon,652
say,640
thought,630
where,623
once,620
same,619
come,617
came,611
even,609
go,603
those,599
myself,594
night,588
back,585
found,585
both,578
mrs,572
seemed,566
make,558
nothing,557
three,552
round,551
herself,549
eyes,547
room,540
gutenberg,525
himself,519
through,510
sea,505
ahab,504
let,504
quite,504
project,502
saw,500
just,499
ship,497
work,485
many,475
felt,472
aunt,468
holmes,460
went,459
give,458
almost,458
far,457
side,456
young,454
heard,454
delicious,453
life,452
took,452
cunt,451
each,450
between,446
however,445
take,442
ye,436
seen,435
moment,435
chapter,431
left,426
cried,425
house,424
until,422
half,421
tell,416
father,415
part,411
thing,410
alice,409
under,404
look,400
bottom,400
pleasure,398
right,397
always,395
morning,394
full,390
place,390
put,388
door,387
having,386
men,386
another,385
get,384
against,383
whole,382
few,382
love,381
mother,379
began,378
gave,376
darcy,374
done,372
sir,372
told,371
indeed,365
face,363
also,362
white,361
thus,349
course,348
world,345
bed,339
cannot,338
hands,338
friend,337
something,334
often,334
lay,334
small,332
captain,327
got,323
towards,323
boat,322
sister,321
doctor,320
enough,318
oh,316
mind,311
passed,311
lady,310
looked,307
woman,304
nor,303
rather,302
whom,299
turned,299
body,299
better,297
years,296
poor,296
find,295
among,295
end,294
next,294
bennet,294
within,293
already,292
delight,292
knew,291
sperm,290
jane,287
feel,285
thou,284
together,284
large,283
anything,281
heart,280
sure,278
matter,277
really,277
days,277
called,274
going,273
hope,273
wife,272
whales,269
new,269
water,268
till,268
brought,266
case,264
things,264
sight,263
manner,262
set,261
whose,261
perhaps,260
stubb,259
does,258
why,257
present,257
don,256
sort,256
became,255
bingley,255
home,254
air,254
boy,252
light,250
family,248
wish,248
times,244
arms,243
given,243
open,240
idea,239
excited,236
nature,236
mouth,236
death,235
queequeg,233
least,233
hear,233
letter,231
point,231
less,230
since,229
certain,229
near,228
feet,228
hardly,227
gone,224
mary,223
whether,223
taken,223
lips,221
sat,221
hard,221
asked,220
word,218
use,218
fine,218
used,218
sometimes,217
stood,217
works,217
believe,216
because,215
behind,213
alone,212
leave,212
therefore,211
during,211
business,211
continued,209
happy,209
spent,209
mamma,208
strange,208
help,207
name,206
return,205
arm,205
forward,204
beautiful,204
best,204
frankland,204
words,203
rose,203
state,202
high,201
god,200
true,200
further,200
second,199
person,199
hold,199
hour,199
yourself,198
four,198
known,198
coming,198
voice,197
kind,196
short,196
looking,196
uncle,196
drew,193
close,193
turn,193
mine,193
means,192
feelings,191
starbuck,191
keep,190
several,190
country,189
terms,189
afterwards,188
replied,187
suddenly,186
along,185
possible,185
object,185
itself,184
doubt,184
general,183
length,183
either,183
legs,183
lost,183
rest,183
met,183
reason,182
above,181
power,181
feeling,181
returned,179
form,179
others,179
fire,179
appeared,179
call,178
standing,178
charming,178
fuck,177
speak,177
ready,177
pequod,177
fellow,176
followed,176
stand,176
deck,175
sisters,175
instant,175
sleep,175
received,173
taking,173
minutes,173
fear,171
eye,171
husband,171
line,171
seeing,170
town,168
black,168
entered,168
son,167
exquisite,167
king,167
read,167
clitoris,166
longer,166
darling,166
evening,165
people,164
wild,163
certainly,163
although,162
electronic,162
friends,162
hours,160
want,160
seems,159
subject,159
wickham,159
five,158
added,158
immediately,158
sun,158
suppose,157
lust,157
threw,156
collins,156
thy,155
attention,155
held,155
saying,155
harry,155
charlie,155
making,154
become,153
try,152
soul,152
kept,152
loved,152
desire,151
themselves,150
count,150
creature,150
foundation,149
able,149
deep,149
dark,149
nearly,148
glorious,148
else,147
hair,147
excitement,147
evelyn,147
dead,147
answer,147
fact,146
boats,146
passions,146
ellen,146
pain,145
london,145
ran,144
crew,144
below,144
seem,143
ten,142
marriage,142
spoke,141
thee,141
lizzie,140
everything,140
opened,140
happiness,140
care,139
quickly,139
live,138
instantly,138
usual,138
mean,138
child,137
greater,137
utmost,137
lovely,137
placed,137
scene,137
finger,137
table,137
turning,136
remained,136
girl,136
ill,136
street,136
forth,136
conversation,136
yes,136
observed,135
position,135
view,135
wonder,135
account,134
visit,133
understand,133
dale,133
fish,133
natural,132
order,132
fucking,131
chance,131
joy,131
giving,131
lydia,130
spend,130
easily,129
thrust,129
fast,129
fingers,129
late,128
ground,128
purpose,128
gently,127
answered,127
de,127
allow,127
daughter,127
delighted,127
remember,126
o,126
especially,126
whaling,126
story,126
cock,126
begged,126
beyond,126
different,126
sound,126
previous,126
perfectly,125
cause,125
pretty,125
window,125
fucked,125
character,125
doing,124
front,124
slowly,123
brother,123
laid,123
seized,122
thousand,122
ourselves,122
fell,121
following,121
drawing,121
question,121
women,121
walked,120
cold,120
exciting,120
opportunity,120
meet,120
future,120
youth,120
months,120
voyage,120
across,120
blood,119
year,119
ask,119
surprise,119
real,119
belly,118
change,118
st,118
enjoyment,117
beneath,117
stiff,117
walk,117
living,117
human,117
red,116
thoughts,116
ladies,115
wind,115
gentleman,115
free,115
opinion,115
affection,114
knowledge,114
gentle,114
cousin,114
movements,113
lord,113
struck,113
cry,113
run,113
effect,113
anyone,112
getting,112
catherine,112
agreement,112
pass,112
low,112
glad,112
died,112
besides,112
tongue,112
afraid,110
sank,110
entirely,110
easy,110
led,110
flask,109
married,109
breakfast,109
land,109
strong,109
particular,109
play,109
showed,109
curious,109
money,108
around,108
talk,108
wished,108
fair,108
arrived,107
clear,107
expected,107
ago,107
pressed,107
whatever,107
early,107
age,107
leg,106
silence,106
truth,106
lascivious,106
determined,106
secret,106
occasion,106
satisfied,105
iron,105
tried,105
none,105
enjoy,105
necessary,105
states,105
greatest,105
fixed,105
somewhat,105
carried,105
pleased,104
week,104
girls,104
sent,104
completely,104
perfect,104
earth,103
cut,103
allowed,103
former,102
fully,102
happened,102
grand,102
heaven,102
passion,102
sherlock,101
lower,101
appearance,101
engaged,101
double,101
ought,101
sweet,101
companion,101
bear,101
middle,100
parts,100
except,100
arse,100
interest,100
beauty,99
peculiar,99
thinking,99
produced,99
watch,99
book,99
knees,99
dinner,98
fancy,98
leaving,98
broken,98
exactly,98
garden,98
cabin,98
quiet,97
show,97
enjoyed,97
bring,97
benson,97
queen,97
sitting,97
mast,97
art,97
master,97
party,97
silent,96
broad,96
desired,96
children,96
vast,96
distance,96
tail,96
fresh,95
chair,95
united,95
surprised,95
tears,95
twice,95
license,95
raised,95
unless,95
imagine,95
impossible,95
common,95
leviathan,95
six,94
noble,94
paid,94
nantucket,94
oil,94
naked,94
delightful,93
stranger,93
comes,93
sudden,93
neither,93
won,93
running,93
seas,93
top,92
ocean,92
appear,92
satisfaction,92
act,92
size,92
buttocks,92
caught,92
information,92
mere,91
summer,91
wide,91
colonel,91
blue,91
resolved,90
copyright,90
sail,90
greatly,90
quick,90
donations,90
otherwise,90
complete,90
hat,90
remain,90
degree,89
knowing,89
finding,89
aye,89
difficulty,89
public,89
single,89
formed,89
warm,89
spirits,89
carriage,89
promise,88
wood,88
longbourn,88
dick,88
mad,88
discovered,88
considerable,87
company,87
creatures,87
hundred,87
various,87
miserable,87
rising,87
thick,86
force,86
circumstances,86
heavy,86
dare,86
remarked,86
gardiner,86
kissed,86
makes,86
excess,85
receive,85
passage,85
says,85
obliged,85
thighs,85
action,85
minute,85
mutual,85
deal,85
discharge,85
stay,85
splendid,85
english,84
lie,84
neck,84
generally,84
jonah,84
lizzy,84
entrance,84
hot,84
countenance,84
letters,84
please,84
moby,84
self,83
excellent,83
merely,83
consider,83
gentlemen,83
written,83
immense,82
sense,82
society,82
backside,82
concerning,82
probably,82
extraordinary,82
waters,82
sailor,82
copy,81
meant,81
mate,81
write,81
passing,81
wanted,81
quarter,81
monster,81
drawn,81
sucked,80
kiss,80
declared,80
stop,80
soft,80
matters,80
literary,80
conduct,80
covered,80
likely,80
harpooneer,80
thrown,80
watson,80
instead,80
twenty,79
horror,79
mistress,79
opening,79
filled,79
settled,79
past,79
floor,79
seated,79
follow,79
talking,79
ere,79
rod,79
third,78
sit,78
acquaintance,78
notice,78
clothes,78
scarcely,78
william,78
ships,78
convinced,78
sharp,78
archive,78
supposed,77
innocent,77
equally,77
foot,77
goes,77
dress,77
reached,77
bosom,77
wonderful,77
journey,77
agony,76
england,76
occurred,76
harpoon,76
lived,76
grew,76
send,76
honour,76
ice,76
proved,76
mark,76
miles,75
pride,75
rushed,75
embrace,75
forced,75
curiosity,75
yours,75
affair,75
charge,75
events,75
waist,75
calm,75
bildad,75
evidently,74
closed,74
prevent,74
beginning,74
started,74
meeting,74
die,74
retired,74
expression,74
speaking,74
board,74
enter,74
number,74
vessel,74
kindness,74
sake,74
step,74
need,74
waiting,74
netherfield,73
marked,73
regard,73
pip,73
seek,73
experience,72
fortune,72
possession,72
apparently,72
joined,72
rapidly,72
latter,72
slept,72
possessed,72
peleg,72
despair,72
carry,72
pay,72
gained,72
burst,72
weeks,72
final,72
voluptuous,71
proper,71
pressures,71
beloved,71
expressed,71
quietly,71
misery,71
actually,71
fall,71
whalemen,71
repeated,71
mighty,71
handsome,70
strength,70
tight,70
tone,70
manners,70
firm,70
game,70
draw,70
devil,70
sought,70
rise,70
slipped,70
period,70
touch,70
advantage,70
frequently,70
drove,69
equal,69
green,69
promised,69
paragraph,69
proceeded,69
agree,69
direction,69
chase,69
rooms,69
slight,69
situation,69
news,69
access,68
orgies,68
bad,68
charlotte,68
join,68
main,68
directly,68
spirit,68
attempt,68
vain,68
start,68
b,68
gradually,68
figure,67
teeth,67
lying,67
possibly,67
ease,67
chief,67
kitty,67
lubricity,67
duty,67
queer,67
law,67
sides,67
plain,67
heads,67
eliza,67
laws,66
member,66
anxious,66
respect,66
egerton,66
save,66
arrival,66
hopes,66
private,66
agreeable,66
locked,66
assure,66
longing,66
success,66
corner,66
skin,66
mentioned,65
loose,65
particularly,65
glance,65
occupied,65
walking,65
dropped,65
sign,65
road,65
cottage,65
embraced,65
crisis,65
upper,65
presented,65
